Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,newCountry
Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,Russian Federation
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,Brazil
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,Italy
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,Poland
France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good,France
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,United States of America
Germany,Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate,Germany
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,Belgium
Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,Russian Federation
Egypt,Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups,Egypt
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,China
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,Netherlands
India,Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,India
Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy,Pakistan
Republic of North Macedonia,Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate,Republic of North Macedonia
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,France
India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy,India
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,Italy
United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,United States of America
India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy,India
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,Poland
India,Pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups,India
Brazil,Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good,Brazil
China,Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy,China
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,Brazil
India,Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate,India
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,Colombia
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,Romania
Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,Russian Federation
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,France
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,United States of America
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,Indonesia
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,Brazil
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,Finland
South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,South Africa
United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,United States of America
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,United Kingdom of Great Britain and Northern Ireland
United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,United States of America
United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,United States of America
Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,Brazil
China,Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate,China
Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,Russian Federation
United Republic of Tanzania,Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate,United Republic of Tanzania
India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,India
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,United States of America
Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,Belgium
Egypt,Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate,Egypt
Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,Haiti
United States of America,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,United States of America
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,United Kingdom of Great Britain and Northern Ireland
United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,Good,United States of America
Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy,Pakistan
India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,India
Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy,Pakistan
Somalia,Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good,Somalia
Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,Philippines
Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,Latvia
United States of America,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good,United States of America
Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good,Netherlands
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,United States of America
United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,United States of America
Poland,Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good,Poland
Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate,Colombia
Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,Italy
Chad,Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate,Chad
United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,United Kingdom of Great Britain and Northern Ireland
Philippines,Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate,Philippines
Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,Russian Federation
United States of America,Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good,United States of America
United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,United States of America
Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,Germany
Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,Germany
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,United Kingdom of Great Britain and Northern Ireland
United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,United States of America
Brazil,Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good,Brazil
India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy,India
Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,Germany
China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,China
Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,Germany
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,United States of America
India,Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate,India
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,Germany
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,France
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,United States of America
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,New Zealand
Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate,Tunisia
Viet Nam,Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good,Viet Nam
Iran (Islamic Republic of),Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy,Iran (Islamic Republic of)
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,Italy
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,India
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,Brazil
Mexico,Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy,Mexico
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,Mexico
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,Italy
Viet Nam,Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups,Viet Nam
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,China
Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good,Indonesia
Romania,Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good,Romania
Tunisia,Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good,Tunisia
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,Philippines
Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,Japan
Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,Mexico
Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,Brazil
Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,Brazil
Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,Brazil
Mexico,Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,Moderate,Mexico
El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,El Salvador
United Republic of Tanzania,Izazi,28,Good,1,Good,15,Good,0,Good,28,Good,United Republic of Tanzania
Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,Russian Federation
India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,India
Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,Brazil
India,Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy,India
Bulgaria,Jambol,40,Good,1,Good,40,Good,0,Good,32,Good,Bulgaria
Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,Poland
Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,Philippines
Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,Nigeria
Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good,Finland
Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate,Brazil
Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good,Philippines
Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good,Brazil
Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate,Nigeria
Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate,Mexico
Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good,Brazil
Brazil,Itambe,21,Good,0,Good,8,Good,1,Good,21,Good,Brazil
Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good,Brazil
